Hyperparameter,Importance for Objective Value
enet_alpha,0.37244165103470134
enet_l1_ratio,0.15435103459272992
max_acceptable_nan,0.1355787966568822
min_mutual_info_score,0.10255639841821479
cluster_distances_pca_features_count,0.07672168835913026
overall_interaction,0.026824748045331095
log_quantile_transform_numeric,0.023798881708391072
n_clusters_distances_pca,0.01637509069788384
pca_outliers_compon_min_expl_var,0.016309740846869432
group_GrLivArea_by_MSSubClass,0.013744133866518946
area_features_cluster_distances,0.013543238307363606
n_clusters_labels_pca,0.008707231012036444
pca_replace_num_features,0.008606032798012388
cluster_labels_pca_features_count,0.006111719870788648
area_features_cluster_labels,0.005811308428482321
exterior_interaction,0.0037011653245596016
GrLivArea_BldgType_interaction,0.002036586106654881
group_GrLivArea_by_HouseStyle,0.0018806850954826313
a2l_lot_area,0.001456652834635374
basement_interaction,0.0013468659937671146
a2l_first_flr_sf,0.0012186393284946751
pool_num_cat_interaction,0.0012074194511084604
enet_selection,0.0011184833345782965
coalesce_mssubclass,0.0010618404902858682
basement_num_cat_interaction,0.0006733183669229813
group_LotArea_by_MSZoning,0.000491923939230531
a2l_total_bsmt_sf,0.0004279644374912309
living_lot_ratio,0.00036118735778935875
spaciousness,0.0002852762814399785
simple_imputer,0.00025899979622392934
outdoor_area_type_count,0.00024901718412331927
a2l_gr_liv_area,0.0002208195982899595
garage_interaction,0.00012189632203751143
outside_sf_features,0.00010620203288065047
pca_outliers_score_distribution,8.595039083545161e-05
target_encoder,7.830193967240604e-05
group_LotArea_by_MSSubClass,7.221198910945186e-05
basement_sf_pca,5.6897761050223825e-05
